URL Page,users,uniquePageviews,pageviews,Brand,Posted On (DD/MM/YYYY),Month,Product
/2020/5/maiQction0.255942273272577,870,880,962.4,"Ma]V;[""M#H{-{S+$",45:01.0,5,maiQction0.255942273272577
/2020/5/mairlease0.626863523325759,271.2,275.4,294.8,DivQWUs5@Bn`vT]v,35:30.0,5,mairlease0.626863523325759
/2020/5/malQkbook0.517566222125392,662.8,675.6,754.4,MaUH#W@L_7.0V&z_,14:43.0,5,malQkbook0.517566222125392
/2020/5/mant-suit0.298816383615337,950.2,962,1007.4,Se\*s-to3g:U55I,07:59.0,5,mant-suit0.298816383615337
/2020/5/manMkbook0.337403123352191,407.2,414,445.4,LoohpaJQ$v?;1-0b,42:20.0,5,manMkbook0.337403123352191
/2020/5/mapQkbook0.391539162024069,501.2,506.6,549.4,Jex`2KBPsj*XwM_,23:55.0,5,mapQkbook0.391539162024069
/2020/5/marF-info0.507729650760826,304.8,309.2,337.4,Ma0zO8U2*+PKg8td,26:06.0,5,marF-info0.507729650760826
/2020/5/mar^lease0.838205245293748,175.2,179,187.2,SSJ%#@$7LTf<p'Jx,16:07.0,5,mar^lease0.838205245293748
/2020/5/mar`kbook0.196943706864537,585.4,591.8,630.4,Sk].10tP;<gnA(Av,43:45.0,5,mar`kbook0.196943706864537
/2020/5/mar\elief0.0876280130756081,852.6,863.2,922.6,Phlkm9fkpdb+WHbM,06:19.0,5,mar\elief0.0876280130756081
/2020/5/mareshops0.0539095789054658,657.4,670.8,716.2,TeNo%'kIAwiTsJ79,54:21.0,5,mareshops0.0539095789054658
/2020/5/marp-info0.922135348785443,243.2,244.8,263.8,MaNa\.te`<rx.QeM,30:00.0,5,marp-info0.922135348785443
/2020/5/marwstore0.825703318966959,570.8,574,611.8,PoeePmGTwCMVS*hv,46:24.0,5,marwstore0.825703318966959
/2020/5/marp-deal0.919281418973241,1067.2,1074,1122.2,Ap!FulqmT[82a2/E,20:06.0,5,marp-deal0.919281418973241
/2020/5/marw-ss200.50691510169537,508,508.6,540.8,MaEwexMdZ<dGbNur,47:13.0,5,marw-ss200.50691510169537
/2020/5/marn-list0.516580571693101,1472.4,1507.8,1652.2,MaYv(\vK4F{`#->J,10:29.0,5,marn-list0.516580571693101
/2020/5/massffman0.951027775182144,808,818,882.4,Ho.n`=RhV|2X'ki-,29:48.0,5,massffman0.951027775182144
/2020/5/masvollab0.634806509004943,204.2,209.6,229.4,NiPea$n|Eu@<@>'L,12:56.0,5,masvollab0.634806509004943
/2020/5/masg-info0.667313081489613,224.4,227.2,238.4,MariIXZix=%{6zH',47:39.0,5,masg-info0.667313081489613
/2020/5/masRation0.327569206650687,1021,1048.6,1161,NeI^J3{D`o4Kv6)1,36:28.0,5,masRation0.327569206650687
/2020/5/matA-info0.255861527824592,796.4,817.2,899.6,Ma^#oi>IK/_'wLw,41:56.0,5,matA-info0.255861527824592
/2020/5/matylease0.84212754917051,576.8,597.8,670.2,"To{he^Wb.xvE#E},",55:20.0,5,matylease0.84212754917051
/2020/5/matMlease0.739130255538928,2245.6,2268,2378.6,"StVD}k9va/,$huE}",30:35.0,5,matMlease0.739130255538928
/2020/5/matE-info0.188099844056668,1810.8,1839.2,1939.4,"StVD}k9va/,$huE}",30:53.0,5,matE-info0.188099844056668
/2020/5/matJigner0.791899461397669,650.2,671,744.8,"Oar0~{U'cN,x%YK",47:54.0,5,matJigner0.791899461397669
/2020/5/matzvideo0.441557523429303,2458.2,2527.8,2690.4,MaF%CE'!2?7FWLU5,01:57.0,5,matzvideo0.441557523429303
/2020/5/maugocess0.826226143055368,340.8,346.2,388.8,OE\e<6sy?^OvXm\9,01:38.0,5,maugocess0.826226143055368
/2020/5/mauPative0.0488179912154388,543,550.4,584.4,Tax<D<H{`t:I^{4*,47:12.0,5,mauPative0.0488179912154388
/2020/5/mb-d-info0.198005145540673,518.6,524,564.6,Ho&KCs7cGx'2lH3@,10:42.0,5,mb-d-info0.198005145540673
/2020/5/mclDtheme0.984980369581322,502.4,509.8,535.4,McTFYulgCm[Eh=@o,47:52.0,5,mclDtheme0.984980369581322
/2020/5/mecberies0.825864735261422,1510,1531.2,1614,Me}_[8WU)-c8ZZ5C,43:13.0,5,mecberies0.825864735261422
/2020/5/medztream0.471325971657043,151,152.2,160,Al_w1b7Rgo1[d5(t,56:54.0,5,medztream0.471325971657043
/2020/5/medG-date0.256541932040024,49,52.4,56,"muy(D#""d02`vwt_^",40:46.0,5,medG-date0.256541932040024
/2020/5/medZlease0.492321765420352,536.8,554.8,613,Me)=j(k#pe;yd0FE,32:35.0,5,medZlease0.492321765420352
/2020/5/medmlease0.310112357686217,995,1020.6,1141.8,Me)=j(k#pe;yd0FE,32:30.0,5,medmlease0.310112357686217
/2020/5/medA-info0.306984614537537,255.2,260.4,279.4,Me)=j(k#pe;yd0FE,27:33.0,5,medA-info0.306984614537537
/2020/5/medzlease0.832460051046588,208.2,210.2,228.8,Me)=j(k#pe;yd0FE,29:40.0,5,medzlease0.832460051046588
/2020/5/medV-info0.128278584298497,412.2,445.2,491.8,Me)=j(k#pe;yd0FE,34:37.0,5,medV-info0.128278584298497
/2020/5/medXlease0.0189235246414658,351,358,387.4,Me)=j(k#pe;yd0FE,32:57.0,5,medXlease0.0189235246414658
/2020/5/medvlease0.820524329667664,295.2,299.8,328.8,Me)=j(k#pe;yd0FE,53:10.0,5,medvlease0.820524329667664
/2020/5/medDlease0.25306489050877,624.8,645.4,709.8,Me)=j(k#pe;yd0FE,01:10.0,5,medDlease0.25306489050877
/2020/5/medQlease0.332573766221187,592.6,605.2,668.6,Me)=j(k#pe;yd0FE,18:32.0,5,medQlease0.332573766221187
/2020/5/medalease0.995931899433938,392.8,399.4,436.8,Me)=j(k#pe;yd0FE,48:33.0,5,medalease0.995931899433938
/2020/5/megHtatue0.695265912343826,31998.4,32692,35055.8,"Dr""`""u^Ebd`wZ7I",52:58.0,5,megHtatue0.695265912343826
/2020/5/megGt-1000.490302428788723,1664.8,1700,1710.2,"Bea""G#A`|s)Rk3;c",56:24.0,5,megGt-1000.490302428788723
/2020/5/megjremix0.378472773675866,1748,1771.6,1875.6,Di>F/&\dpnsv;i33,13:11.0,5,megjremix0.378472773675866
/2020/5/megHvideo0.633275752521824,2976.8,3018.2,3225.8,"muy(D#""d02`vwt_^",18:49.0,5,megHvideo0.633275752521824
/2020/5/merr-sale0.353299157762715,1153.4,1172.2,1268,Me9-oldl=Z39rlS~,31:10.0,5,merr-sale0.353299157762715
