6470,5,976
5575,4,517
1631,7,548
7371,1,362
2063,12,10
2252,6,444
5037,5,2414
1214,5,534
2295,5,678
7547,2,776
3996,11,755
4606,10,48
5023,6,508
5466,5,902
380,5,879
530,11,73
6825,6,878
1948,10,123
8040,7,976
5186,5,73
804,4,743
1249,4,217
6511,3,1015
2121,1,862
8146,1,581
4470,8,162
5461,9,240
2079,9,1099
7204,7,7
2559,7,1076
8125,9,690
1067,7,277
1375,9,268
4113,10,1152
5960,9,390
1267,11,398
1285,9,48
7672,5,908
7967,12,1984
2794,12,649
6644,8,192
6802,7,841
1613,11,894
2565,8,1229
2785,12,426
3538,4,985
3835,1,520
4658,12,355
1362,12,756
1745,2,1081
2767,11,628
4516,9,0
4876,8,399
5086,2,107
994,2,467
1183,8,93
6630,4,295
2008,11,775
2992,11,111
3078,6,723
4342,3,427
5058,4,4
6456,12,603
4383,8,433
4959,5,148
285,11,979
298,6,225
448,9,879
5941,2,660
6369,3,928
6513,11,703
4076,2,1
4526,11,326
5347,11,872
6430,11,215
1712,8,38
2538,10,397
2617,5,891
3298,7,933
3399,7,163
3749,11,265
7332,8,174
7792,4,357
3740,8,221
4421,11,1280
605,9,703
7072,9,880
1822,11,834
2723,10,1700
4369,4,98
5674,2,202
1013,12,144
7549,10,442
2645,1,820
8136,2,26
2843,5,529
3242,12,545
4365,6,653
6280,7,224
7033,8,735
8229,6,444
225,2,413
2885,2,397
5632,12,61
151,8,254
1207,2,860
6601,8,691
1867,8,74
7584,1,495
2835,7,189
8210,12,601
5954,5,293
1456,10,519
6978,1,1032
8132,4,81
3548,7,123
5835,5,145
808,12,34
1813,11,441
2551,10,488
3454,9,437
4582,5,604
5392,3,440
6884,11,269
5882,5,1285
57,6,795
6842,5,537
7074,1,828
2230,2,889
7812,10,833
7844,8,240
3697,12,349
4861,11,744
5720,7,787
491,10,328
6154,11,710
1717,7,271
8288,10,366
3052,7,973
3756,8,590
5581,10,73
6287,4,698
1211,3,1235
1452,8,230
6549,6,43
7028,9,1414
1771,1,1341
7622,7,854
3566,3,951
4165,10,7
5663,8,556
5914,5,475
8076,1,365
3275,1,481
3414,7,1063
1120,2,929
2921,4,19
1379,8,555
6408,2,621
4390,2,359
5716,10,718
907,12,469
6160,4,412
7055,10,635
1593,7,906
2184,5,481
3378,9,220
4246,10,612
47,5,202
1654,7,350
7548,8,596
8141,9,58
4495,5,68
5572,7,273
54,6,704
1321,1,400
7169,11,83
7211,12,857
2276,7,576
7627,11,1266
7765,4,1117
2712,12,276
8153,11,287
2916,2,367
3037,3,216
322,10,1015
6187,12,921
4278,8,205
167,10,123
6153,12,903
1313,12,964
1367,5,385
6688,5,165
6962,2,82
8123,10,283
8233,10,490
3067,3,1524
3330,2,459
4866,2,879
5259,9,894
1056,2,24
6293,4,475
6310,4,815
7726,10,1028
7934,7,63
4279,7,145
4930,3,94
5079,9,406
1491,9,668
4460,2,215
6106,5,404
6377,2,321
6770,10,195
2911,5,958
3157,10,187
4230,5,576
4303,1,329
4398,10,774
4478,2,996
60,10,59
1750,11,401
7177,3,939
7507,5,950
8258,8,463
5205,6,487
6322,10,939
7848,6,939
2759,5,134
3374,10,1229
5065,3,1170
1458,4,65
7866,11,347
8027,11,386
4872,10,543
722,1,146
5924,7,1054
5696,5,1143
1382,8,137
8348,10,1804
3304,4,23
3686,2,211
5925,6,55
6400,5,223
6774,3,653
7202,3,185
2747,3,1035
4346,1,2101
6987,2,941
1913,1,823
7884,12,5
5567,11,899
5588,1,780
645,11,63
7201,4,817
7452,10,170
2263,6,186
3195,6,1219
5873,10,0
6210,7,551
2141,9,1001
7644,12,905
3939,6,1198
701,10,450
7124,3,714
2264,5,616
7955,8,60
2119,7,796
8075,10,1168
5352,6,1085
5927,11,180
6798,6,1789
4040,2,1013
4425,12,118
5041,1,645
5145,8,1197
3289,8,207
4269,1,951
393,3,1127
1856,11,1248
7711,4,1200
8009,8,183
5533,4,802
7908,9,968
2989,7,484
3440,4,502
4109,12,942
4290,3,435
563,5,528
6281,9,1099
6463,1,803
7287,10,479
8017,7,714
4591,4,427
5523,3,186
5939,10,164
7490,8,694
8047,11,779
4637,9,743
4737,11,827
966,8,481
6712,6,221
3270,5,324
3606,5,417
